model_key,brand,model,title,price,reference_price,type,placement,capacity,voltage,amperage,plug,emf,spectrum,red_light,ir_wattage,heater,heater_kw,max_temp,exterior_dimensions,interior_dimensions,wood,weight,warranty,inhouse_url
mw16,Mande Spa,MW16,MW16 ThermoWood® Outdoor Sauna – Spacious 4-Person Retreat,6929.0,7699.0,Traditional,Outdoor,4,,,,,,,,,,,,,,,,https://inhousewellness.com/products/mw16-thermowood
mw20,Mande Spa,MW20,MW20 ThermoWood® Outdoor Sauna – Spacious Luxury for 5–6 People,8099.0,8999.0,Traditional,Outdoor,6,,,,,,,,,,,,,,,5-year limited warranty,https://inhousewellness.com/products/mw20-thermowood
mx-j206-01,Maxxus,MX-J206-01,"Maxxus Seattle 2-Person Infrared Sauna – Low EMF, Bluetooth Speakers, Red Light Therapy",2299.0,3699.0,Infrared,Indoor,2,120V,15A,,Low,Far Infrared,True,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-seattle-2-person-sauna
mx-j206-01-zf,Maxxus,MX-J206-01-ZF,"Maxxus ""Seattle"" 2 Person Near Zero EMF FAR IR Sauna",2699.0,4999.0,Hybrid,Indoor,2,120V/240V,15A,Standard 120V outlet,Near Zero,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-seattle-sauna
mx-j206-02s,Maxxus,MX-J206-02S,Golden Designs Maxxus “Aspen” MX-J206-02S 2 Person Low EMF Dual Tech FAR Infrared Sauna – Canadian Hemlock,2699.0,4499.0,Hybrid,Indoor,2,120V,15A,,Low,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock / Aspen,,5-year limited warranty,https://inhousewellness.com/products/maxxus-aspen-sauna
mx-j306-01,Maxxus,MX-J306-01,"Maxxus ""Bellevue"" 3 Person Low EMF FAR Infrared Sauna",2699.0,3999.0,Infrared,Indoor,3,120V,20A,,Low,Far Infrared,True,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-bellevue-3-person-infrared-sauna
mx-j306-01-zf,Maxxus,MX-J306-01-ZF,"Maxxus ""Bellevue"" 3-Person Near Zero EMF FAR Infrared Sauna – Canadian Hemlock",2899.0,5999.0,Infrared,Indoor,3,120V,20A,,Near Zero,Far Infrared,,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-bellevue-3-person-near-zero-emf-far-infrared-sauna-canadian-hemlock
mx-j306-02s,Maxxus,MX-J306-02S,"Maxxus ""Alpine"" Dual Tech 3 person Low EMF FAR Infrared Sauna Canadian Hemlock",2999.0,4999.0,Infrared,Indoor,3,,,,Low,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-alpine
mx-k206-01,Maxxus,MX-K206-01,Maxxus Low EMF FAR Infrared Sauna – Canadian Hemlock – 2-Person Capacity,2699.0,4499.0,Hybrid,Indoor,2,120V,15A,,Low,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-2-person-sauna-hemlock
mx-k206-01-zf,Maxxus,MX-K206-01-ZF,Maxxus FAR Infrared Sauna Hemlock Wood,3099.0,5499.0,Infrared,Indoor,2,,,,Near Zero,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/maxxus-mx-k206-01-zf
